"Grupo_Cluster","Nombre_Cluster","Año","Punto","Temperatura (°C)","O2 disuelto (mg/L)","Fosfatos (mg/L)","Nitratos (mg/L)","Clorofila-a (µg/L)","Fitoplancton (cél/mL)","Zooplancton (org/L)"
1,"Mesotrófico productivo",2024,2.14814814814815,16.9185185185185,9.9037037037037,0.145740740740741,0.636296296296296,12.8066666666667,26119.2222222222,57.7407407407407
2,"Oligotrófico frío",2024,1.93478260869565,10.3434782608696,6.87630434782609,0.154804347826087,0.659217391304348,12.2236956521739,25580.4130434783,97.9347826086957
3,"Oligotrófico cálido",2024,1.97142857142857,12.08,7.80714285714286,0.777542857142857,2.28168571428571,57.5545714285714,87639.4285714286,84.4285714285714
